gene_id,C4.gene_counts,C5.gene_counts,C7.gene_counts,T10.gene_counts,T11.gene_counts,T8.gene_counts
ENSMUSG00000102272,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0
ENSMUSG00000103411,1,1,0,0,0,0
ENSMUSG00000061024,1256,1131,1234,732,1294,960
ENSMUSG00000102030,0,0,0,0,0,0
ENSMUSG00000099870,0,0,0,0,0,0
ENSMUSG00000026374,1804,1642,2025,1610,2356,1829
ENSMUSG00000026377,649,548,679,608,729,553
ENSMUSG00000099936,0,0,0,0,0,0
ENSMUSG00000025911,247,238,120,186,243,193
ENSMUSG00000081441,1,5,1,3,7,3
ENSMUSG00000067879,7,10,2,2,0,2
ENSMUSG00000099827,0,0,0,0,0,0
ENSMUSG00000057335,1043,973,511,1055,1410,1284
ENSMUSG00000103634,2,0,0,4,2,0
ENSMUSG00000104154,11,3,4,9,9,8
ENSMUSG00000103435,2,1,0,2,2,4
ENSMUSG00000065573,0,0,0,0,0,0
ENSMUSG00002076271,0,0,0,0,2,0
ENSMUSG00000100551,0,0,0,0,0,0
ENSMUSG00000100357,0,0,0,0,0,0
ENSMUSG00000025912,4479,6948,1934,5157,7368,8164
ENSMUSG00000045210,1837,2073,1269,1901,2530,1980
ENSMUSG00000041763,3031,2707,1934,2638,3381,2755
ENSMUSG00000026504,527,471,369,418,625,446
ENSMUSG00000103367,0,0,0,0,0,0
ENSMUSG00000103584,0,0,0,0,0,0
ENSMUSG00002076339,2,0,0,0,0,4
ENSMUSG00000102475,0,0,0,0,6,0
ENSMUSG00000047343,5,5,3,5,2,2
ENSMUSG00000102211,0,2,1,3,2,1
ENSMUSG00000087082,7,5,3,2,7,6
ENSMUSG00000090106,0,0,0,0,0,0
ENSMUSG00000103251,6,9,4,8,5,7
ENSMUSG00000091844,57,98,19,84,84,143
ENSMUSG00000026483,66,36,50,37,76,67
ENSMUSG00000082528,0,0,0,0,0,0
ENSMUSG00000082012,0,0,0,0,0,0
ENSMUSG00000099996,0,0,0,0,0,0
ENSMUSG00000101763,0,0,0,0,0,0
ENSMUSG00000100827,0,0,0,0,0,0
ENSMUSG00000100553,0,0,0,0,0,0
ENSMUSG00000098611,0,0,0,0,0,0
ENSMUSG00000100534,0,0,0,0,0,0
ENSMUSG00000102904,0,0,0,0,0,0
ENSMUSG00002076350,0,0,0,0,0,0
ENSMUSG00000019699,489,514,391,480,646,568
ENSMUSG00000104391,2,5,0,2,0,1
ENSMUSG00000102133,2,0,0,0,0,0
ENSMUSG00000102749,0,0,0,3,0,2
ENSMUSG00000103163,1,0,1,1,0,0
ENSMUSG00000103646,0,1,0,1,0,0
ENSMUSG00000102427,1,0,0,0,0,0
ENSMUSG00000103633,0,0,0,0,0,0
ENSMUSG00000097892,1,0,0,0,0,0
ENSMUSG00000063659,577,558,451,622,679,524
ENSMUSG00000102432,0,0,0,0,0,0
ENSMUSG00000103043,0,0,0,0,0,0
ENSMUSG00000102885,0,0,0,0,0,0
ENSMUSG00000026049,522,335,321,351,539,395
ENSMUSG00000103767,0,0,0,0,0,0
ENSMUSG00000043019,1664,1447,916,1296,1887,1575
ENSMUSG00000101104,0,0,0,0,0,0
ENSMUSG00000015962,0,0,0,0,1,0
ENSMUSG00000032666,1,4,0,3,2,4
ENSMUSG00000084557,0,0,0,0,0,0
ENSMUSG00000100685,0,0,0,0,0,0
ENSMUSG00000102090,0,0,0,0,0,0
ENSMUSG00000103744,0,0,0,0,0,0
ENSMUSG00000015961,2000,1653,1449,1840,2200,1880
ENSMUSG00000089657,1,1,1,2,9,1
ENSMUSG00000102483,0,0,0,2,0,0
ENSMUSG00000014980,244,244,293,185,276,266
ENSMUSG00000026235,0,0,0,0,0,0
ENSMUSG00000099141,0,0,0,0,0,0
ENSMUSG00000032649,0,0,0,0,0,0
ENSMUSG00000101849,0,0,0,0,0,0
ENSMUSG00000101506,0,0,0,0,0,0
ENSMUSG00000065215,0,0,0,0,0,0
ENSMUSG00000102052,0,0,0,0,0,0
ENSMUSG00000026047,25,10,3,15,7,9
ENSMUSG00000080878,0,0,0,0,0,0
ENSMUSG00000091476,5,1,1,0,0,1
ENSMUSG00000104097,0,2,1,2,0,0
ENSMUSG00000119789,0,0,0,0,0,0
ENSMUSG00000102493,1,0,0,0,0,0
ENSMUSG00000004872,0,0,0,2,0,0
ENSMUSG00000118426,0,0,0,0,0,0
ENSMUSG00000041684,18,17,19,30,33,6
ENSMUSG00000032908,17,25,15,28,22,27
ENSMUSG00000099561,0,0,0,0,0,0
ENSMUSG00000102945,0,0,0,0,0,0
ENSMUSG00000026502,656,587,568,456,833,683
ENSMUSG00000103958,0,0,0,0,0,0
ENSMUSG00000070489,0,0,0,0,0,0
ENSMUSG00000104126,9,4,5,3,5,3
ENSMUSG00000026500,33,23,41,7,33,27
ENSMUSG00000026048,268,254,170,217,281,217
ENSMUSG00000046828,0,0,0,0,0,0
ENSMUSG00000089703,0,0,0,0,0,0
ENSMUSG00000100966,0,0,0,0,0,0
ENSMUSG00000100769,0,0,0,0,0,0
ENSMUSG00000101567,0,0,0,0,0,0
ENSMUSG00000026245,1380,1218,1565,1201,1583,1187
ENSMUSG00000101798,8,6,1,5,10,5
ENSMUSG00000104018,13,12,3,10,4,3
ENSMUSG00000090486,0,0,0,0,0,0
ENSMUSG00000026482,42,40,27,29,46,50
ENSMUSG00000086145,0,0,0,0,0,0
ENSMUSG00000080950,1,1,4,11,0,5
ENSMUSG00000099868,0,3,0,0,2,0
ENSMUSG00000055547,0,1,0,0,0,0
ENSMUSG00000012187,0,0,0,0,0,0
ENSMUSG00000008475,6623,5819,7193,6119,7800,6064
ENSMUSG00000099364,0,0,0,0,0,0
ENSMUSG00000100562,0,0,0,0,0,0
ENSMUSG00000056870,0,0,0,0,0,0
ENSMUSG00000102319,0,0,0,0,1,0
ENSMUSG00000089877,0,0,0,0,0,0
ENSMUSG00000101701,0,0,0,0,0,0
ENSMUSG00000103071,0,1,0,0,0,0
ENSMUSG00000100434,0,0,0,0,0,0
ENSMUSG00000100013,0,0,0,0,0,0
ENSMUSG00000101251,0,0,0,0,0,0
ENSMUSG00000101937,0,0,0,0,0,0
ENSMUSG00000039630,21896,19500,14266,13722,24582,17208
ENSMUSG00000104279,10,5,4,2,10,5
ENSMUSG00002075531,0,0,0,0,0,0
ENSMUSG00000064954,0,0,0,0,0,0
ENSMUSG00000026495,110,130,61,155,144,137
ENSMUSG00000032883,471,444,302,297,497,420
ENSMUSG00000026480,3108,2641,3945,2323,3324,2556
ENSMUSG00000026494,2,0,0,0,0,7
ENSMUSG00000064967,0,0,0,0,0,0
ENSMUSG00000102922,0,0,0,0,0,0
ENSMUSG00000025915,1262,1150,815,1239,1281,914
ENSMUSG00000089713,0,0,0,0,0,0
ENSMUSG00000079470,456,350,191,399,445,406
ENSMUSG00000099377,5,1,4,2,4,4
ENSMUSG00000099706,0,0,0,0,0,0
ENSMUSG00000047330,0,0,0,0,0,0
ENSMUSG00000101324,0,0,0,0,0,0
ENSMUSG00000072978,0,0,0,0,0,1
ENSMUSG00000046334,5,1,0,0,0,11
ENSMUSG00002075801,0,0,0,5,0,0
ENSMUSG00000050711,0,0,0,0,0,0
ENSMUSG00000099562,0,0,0,0,0,0
ENSMUSG00000077782,0,0,0,0,0,0
ENSMUSG00000055067,220,143,234,187,188,235
ENSMUSG00000054702,1187,1225,995,1269,1726,1395
ENSMUSG00000096474,10,2,2,2,1,5
ENSMUSG00000102235,39,31,4,37,42,45
ENSMUSG00000026492,457,450,306,409,484,418
ENSMUSG00000082395,18,6,2,8,7,13
ENSMUSG00000038949,2233,1805,1457,1680,2727,2619
ENSMUSG00000026043,0,0,8,0,0,0
ENSMUSG00000046101,18,22,8,19,6,12
ENSMUSG00002074901,0,0,0,0,0,0
ENSMUSG00000093178,0,0,0,0,0,0
ENSMUSG00000099032,0,0,1,2,0,0
ENSMUSG00000104025,0,0,0,0,0,0
ENSMUSG00000038936,92,57,67,74,80,51
ENSMUSG00000042772,5165,4148,3075,4414,5163,4188
ENSMUSG00000100394,18,4,0,16,8,5
ENSMUSG00000103840,0,0,0,0,0,0
ENSMUSG00000087236,1,0,0,0,3,0
ENSMUSG00000100702,0,0,0,0,0,0
ENSMUSG00000026042,0,0,0,0,0,0
ENSMUSG00000104476,0,0,0,0,0,0
ENSMUSG00000073643,777,728,294,555,646,622
ENSMUSG00000104497,1,0,0,0,0,0
ENSMUSG00000025916,0,0,0,0,0,0
ENSMUSG00000087199,0,0,0,0,0,0
ENSMUSG00000026248,429,465,618,321,577,490
ENSMUSG00000119658,0,0,0,0,0,0
ENSMUSG00000026249,1,0,0,0,0,3
ENSMUSG00000042751,0,0,0,0,0,0
ENSMUSG00000067106,5,6,2,1,3,5
ENSMUSG00000099969,0,0,0,0,0,0
ENSMUSG00000100397,0,0,0,0,0,0
ENSMUSG00000099753,0,0,0,0,0,0
ENSMUSG00000118883,0,0,0,0,0,0
ENSMUSG00000102518,0,0,0,0,0,0
ENSMUSG00000099552,0,0,0,0,0,3
ENSMUSG00000043230,0,0,2,0,0,0
ENSMUSG00000103404,0,1,0,0,0,0
ENSMUSG00000026491,4993,4371,2807,4458,5572,4294
ENSMUSG00000073486,7,7,0,3,18,1
ENSMUSG00000025917,1166,1115,1158,915,1385,1090
ENSMUSG00000104418,2,1,0,0,0,1
ENSMUSG00000026479,0,4,0,0,0,0
ENSMUSG00000004364,3707,3329,2429,3557,4398,3464
ENSMUSG00000103076,39,44,9,32,46,35
ENSMUSG00000103525,0,0,0,0,0,1
ENSMUSG00000101722,0,0,0,0,0,0
ENSMUSG00000090637,0,0,0,0,0,0
ENSMUSG00000026478,1217,949,1067,971,1219,951
ENSMUSG00000110100,1,0,1,0,0,0
ENSMUSG00000103818,2,4,0,0,0,0
ENSMUSG00000079138,9,6,4,13,10,6
ENSMUSG00000042708,102,109,37,89,84,99
ENSMUSG00000064435,3,4,0,5,2,4
ENSMUSG00000103543,29,31,2,19,23,20
ENSMUSG00000099432,0,0,0,0,0,0
ENSMUSG00000041144,0,0,0,0,0,0
ENSMUSG00000119743,0,0,0,0,0,0
ENSMUSG00000042699,11833,9227,6192,9636,11619,10349
ENSMUSG00000101262,0,0,1,0,0,0
ENSMUSG00000042684,0,1,0,0,0,0
ENSMUSG00000099858,0,1,0,2,0,3
ENSMUSG00000101337,1,3,0,0,0,2
ENSMUSG00000025986,279,213,190,260,346,240
ENSMUSG00000100213,3,6,4,6,3,2
ENSMUSG00000103129,0,0,0,0,0,0
ENSMUSG00000100160,0,0,0,0,2,0
ENSMUSG00000101921,0,0,0,0,0,0
ENSMUSG00000101447,0,0,0,0,0,0
ENSMUSG00000081185,0,0,1,0,0,0
ENSMUSG00000103246,0,0,0,0,0,0
ENSMUSG00000098876,0,0,0,0,0,0
ENSMUSG00000100530,0,0,0,0,0,0
ENSMUSG00000104067,0,0,0,0,0,0
ENSMUSG00000100033,2,0,0,0,0,0
ENSMUSG00002075213,0,0,0,0,0,0
ENSMUSG00002076633,0,0,0,0,0,0
ENSMUSG00000101996,0,0,0,0,0,0
ENSMUSG00000096973,0,0,0,0,0,0
ENSMUSG00000064943,0,0,0,0,0,0
ENSMUSG00000100866,0,0,0,0,0,0
ENSMUSG00000101721,0,0,0,0,0,0
ENSMUSG00000099376,0,0,0,0,0,0
ENSMUSG00000097883,0,0,0,0,0,0
ENSMUSG00002076043,0,0,0,0,0,0
ENSMUSG00000099698,0,0,0,0,0,0
ENSMUSG00000056763,1205,1029,337,916,1086,1072
ENSMUSG00000099454,0,0,0,0,0,0
ENSMUSG00000051616,0,0,0,0,0,0
ENSMUSG00000099627,0,0,0,0,0,0
ENSMUSG00000099577,0,0,0,0,0,0
ENSMUSG00000099882,0,0,0,0,0,0
ENSMUSG00000101760,0,0,0,0,0,0
ENSMUSG00000102356,0,0,0,0,0,0
ENSMUSG00000099608,0,0,0,0,0,0
ENSMUSG00000099864,0,0,0,0,0,0
ENSMUSG00002075839,0,0,0,0,0,0
ENSMUSG00000100451,0,0,0,0,0,0
ENSMUSG00000099941,0,0,0,0,0,0
ENSMUSG00002075589,0,0,0,0,0,0
ENSMUSG00000100816,0,0,0,0,0,0
ENSMUSG00000042671,0,0,0,0,0,0
ENSMUSG00000100945,0,0,0,0,0,0
ENSMUSG00000102404,0,0,0,0,0,0
ENSMUSG00000100334,0,0,0,0,0,0
ENSMUSG00000026109,0,0,0,0,0,0
ENSMUSG00000026475,15,3,0,2,1,16
ENSMUSG00000099568,0,0,0,0,0,0
ENSMUSG00000100671,0,0,0,0,0,0
ENSMUSG00002075527,0,0,0,0,0,0
ENSMUSG00000101242,0,0,0,0,0,0
ENSMUSG00000099924,0,0,0,0,0,0
ENSMUSG00000099625,0,0,0,0,0,0
ENSMUSG00000101799,0,0,0,0,0,0
ENSMUSG00000045954,0,0,0,0,0,0
ENSMUSG00000099741,0,0,0,0,0,0
ENSMUSG00000101702,1,0,1,0,0,0
ENSMUSG00000066800,13,5,10,17,14,9
ENSMUSG00000100183,0,0,0,0,0,0
ENSMUSG00000067851,4899,4470,2745,4410,5482,4630
ENSMUSG00002076532,7,4,0,12,2,9
ENSMUSG00000102556,0,1,3,12,0,0
ENSMUSG00000038608,6165,5673,2616,4304,4846,3911
ENSMUSG00000042501,0,0,0,0,0,0
ENSMUSG00000103810,0,0,0,0,0,0
ENSMUSG00000083422,0,0,0,0,1,0
ENSMUSG00000119312,0,0,0,0,0,0
ENSMUSG00000042641,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0
ENSMUSG00000103192,0,1,0,0,1,0
ENSMUSG00000104488,1,0,5,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0
ENSMUSG00000102721,2,0,1,2,0,0
ENSMUSG00000100648,0,0,0,0,0,0
ENSMUSG00002076499,0,0,0,0,0,0
ENSMUSG00000099949,0,0,0,0,0,0
ENSMUSG00000099918,0,0,0,0,0,0
ENSMUSG00000045968,23,11,4,7,6,19
ENSMUSG00000043282,0,0,0,0,0,0
ENSMUSG00000102459,0,0,0,0,0,0
ENSMUSG00000047053,0,0,0,0,0,0
ENSMUSG00000099227,0,0,0,0,0,0
ENSMUSG00000026107,188,260,159,226,334,227
ENSMUSG00000099413,0,0,0,2,0,0
ENSMUSG00000103424,0,0,0,0,0,0
ENSMUSG00000054976,0,0,0,0,0,0
ENSMUSG00000104029,0,0,0,0,0,0
ENSMUSG00000101986,0,0,0,0,0,0
ENSMUSG00000087008,0,0,0,0,0,0
ENSMUSG00000100561,0,0,0,0,0,0
ENSMUSG00000103571,0,0,0,0,0,0
ENSMUSG00000098797,0,0,0,0,0,0
ENSMUSG00000026473,3182,2281,2927,2750,3638,2925
ENSMUSG00000100014,0,0,0,0,0,2
ENSMUSG00000101903,0,0,0,0,0,0
ENSMUSG00000055980,0,0,0,0,0,0
ENSMUSG00000100502,0,0,0,0,0,0
ENSMUSG00000022591,0,0,0,0,0,0
ENSMUSG00000088669,0,0,0,0,0,0
ENSMUSG00000066797,0,0,0,0,0,0
ENSMUSG00000048960,0,0,0,0,0,0
ENSMUSG00000099933,0,0,0,0,0,0
ENSMUSG00000100221,0,0,0,0,0,0
ENSMUSG00002076439,0,0,0,0,0,0
ENSMUSG00000100031,0,0,0,0,0,0
ENSMUSG00000077318,0,0,0,0,0,0
ENSMUSG00000101827,0,0,0,0,0,0
ENSMUSG00000103494,0,0,0,0,0,0
ENSMUSG00000026142,227,254,306,204,350,273
ENSMUSG00000104493,3,0,3,2,6,1
ENSMUSG00000100786,0,0,1,0,3,0
ENSMUSG00002075724,0,0,0,0,0,0
ENSMUSG00000067158,0,1,2,1,4,0
ENSMUSG00000079465,0,0,0,0,0,0
ENSMUSG00002075966,0,0,0,0,0,0
ENSMUSG00000004110,906,737,299,695,871,987
ENSMUSG00000097564,0,0,0,0,0,0
ENSMUSG00000101880,2,3,0,0,0,2
ENSMUSG00000101433,0,0,0,0,0,0
ENSMUSG00000096950,3,9,1,7,10,9
ENSMUSG00000056708,4891,3579,5457,2576,3818,1978
ENSMUSG00000026471,61,64,44,77,74,46
ENSMUSG00000057715,0,0,0,0,0,0
ENSMUSG00000026470,905,662,845,579,881,758
ENSMUSG00000103825,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0
ENSMUSG00000101610,1,0,1,0,0,0
ENSMUSG00000104181,8,6,4,3,5,14
ENSMUSG00000118923,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0
ENSMUSG00000097628,0,0,0,0,0,0
ENSMUSG00000098163,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0
ENSMUSG00000033722,3,5,1,0,0,0
ENSMUSG00000103670,0,0,0,0,0,0
ENSMUSG00000026150,1155,987,1005,1010,1344,991
ENSMUSG00000101450,14,17,2,6,17,6
ENSMUSG00000026149,0,0,0,0,0,1
ENSMUSG00000114299,0,0,0,0,0,0
ENSMUSG00000099771,0,0,0,0,0,0
ENSMUSG00000102280,0,0,0,0,0,0
ENSMUSG00000100170,0,0,2,0,0,0
ENSMUSG00000100744,0,0,0,0,0,0
ENSMUSG00002074851,0,0,0,0,0,0
ENSMUSG00000026469,1835,1654,1221,1637,2245,1730
ENSMUSG00002076398,0,0,0,8,1,1
ENSMUSG00000018417,0,0,0,7,0,0
ENSMUSG00000101724,0,0,0,0,0,0
ENSMUSG00000100313,0,0,0,0,0,0
ENSMUSG00000100696,0,0,0,0,0,0
ENSMUSG00002075355,0,0,0,0,0,0
ENSMUSG00000072324,0,0,1,0,0,0
ENSMUSG00000026490,17,5,2,13,18,24
ENSMUSG00000033701,873,670,1038,478,732,617
ENSMUSG00000102194,0,0,0,0,0,0
ENSMUSG00000103636,3,2,9,5,14,0
ENSMUSG00000026468,0,0,0,4,0,0
ENSMUSG00000103180,0,0,0,0,0,0
ENSMUSG00000062939,180,167,130,108,246,123
ENSMUSG00000101628,0,0,1,0,2,3
ENSMUSG00000078291,4,4,1,4,4,4
ENSMUSG00000109599,14,10,7,12,6,16
ENSMUSG00000033684,167,121,144,111,183,182
ENSMUSG00000102299,0,0,0,0,0,0
ENSMUSG00000102558,0,0,0,0,0,0
ENSMUSG00000016918,0,1,0,0,0,0
ENSMUSG00000033671,4031,3188,2050,3348,4453,3525
ENSMUSG00000103717,2,3,3,4,3,6
ENSMUSG00000103771,2,1,0,1,0,0
ENSMUSG00000102837,2,0,1,1,2,0
ENSMUSG00000077419,0,0,0,0,0,0
ENSMUSG00000102833,2,2,0,2,9,8
ENSMUSG00000026489,938,522,775,927,550,373
ENSMUSG00000104520,2,1,0,0,0,2
ENSMUSG00000025938,14,16,13,4,9,14
ENSMUSG00000026159,2983,2836,1945,2589,3288,2634
ENSMUSG00000104518,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0
ENSMUSG00000113880,5,5,0,2,4,17
ENSMUSG00000113973,0,0,0,0,0,0
ENSMUSG00000113846,0,0,0,0,0,0
ENSMUSG00000113084,0,0,0,0,0,0
ENSMUSG00000042414,0,0,0,0,0,0
ENSMUSG00000113925,0,0,0,0,0,0
ENSMUSG00000114011,0,0,0,0,0,0
ENSMUSG00000113097,0,0,0,0,0,0
ENSMUSG00000101784,0,1,0,0,0,0
ENSMUSG00000038496,0,0,0,0,0,0
ENSMUSG00000100432,0,0,0,0,0,0
ENSMUSG00000100190,0,0,0,0,0,0
ENSMUSG00000113267,0,0,0,0,0,0
ENSMUSG00000104423,0,0,0,0,0,0
ENSMUSG00000101315,0,0,0,0,0,0
ENSMUSG00000099691,0,0,0,0,0,0
ENSMUSG00000026166,0,0,0,0,0,0
ENSMUSG00000101173,0,0,0,0,0,0
ENSMUSG00000064302,2186,2044,1691,1768,2440,2165
ENSMUSG00000077257,0,0,0,0,0,0
ENSMUSG00000107722,2,0,1,0,2,0
ENSMUSG00000080542,0,0,0,0,0,0
ENSMUSG00000100770,2,0,0,1,0,0
ENSMUSG00000053161,0,0,0,0,0,0
ENSMUSG00000101896,0,0,0,0,0,0
ENSMUSG00002075005,0,0,0,0,0,0
ENSMUSG00000026466,3192,2738,2840,2768,3616,2673
ENSMUSG00000102964,119,35,9,81,42,48
ENSMUSG00000026380,5,10,11,10,14,8
ENSMUSG00002076551,0,0,0,0,0,0
ENSMUSG00000101624,0,0,0,0,0,0
ENSMUSG00000088363,0,0,0,0,0,0
ENSMUSG00000100040,0,0,0,0,0,0
ENSMUSG00000010609,1765,1534,1747,1301,1873,1601
ENSMUSG00000055676,48,36,48,36,27,15
ENSMUSG00000026163,0,0,0,0,0,0
ENSMUSG00000079140,0,0,0,0,0,0
ENSMUSG00000104374,0,0,0,0,0,0
ENSMUSG00000104219,0,0,0,0,0,0
ENSMUSG00000100580,0,0,0,0,0,0
ENSMUSG00000038855,5488,4208,4880,3646,4943,3570
ENSMUSG00002076780,0,0,0,0,0,0
ENSMUSG00000104388,62,26,13,23,18,19
ENSMUSG00000077736,0,0,0,0,0,0
ENSMUSG00000103123,2,0,0,2,0,3
ENSMUSG00000103772,17,12,0,12,1,6
ENSMUSG00000053963,47,31,73,20,45,11
ENSMUSG00000104210,0,0,0,0,0,0
ENSMUSG00000102608,12,15,18,28,18,13
ENSMUSG00000045658,3,5,5,0,0,0
ENSMUSG00000050565,2524,2238,1592,2131,2685,1999
ENSMUSG00000102750,0,0,0,0,0,0
ENSMUSG00000101934,0,0,0,0,0,0
ENSMUSG00000098851,0,0,0,0,0,0
ENSMUSG00000015484,0,0,0,0,0,0
ENSMUSG00000048402,0,4,0,0,0,0
ENSMUSG00000098273,0,0,0,0,0,0
ENSMUSG00000097408,0,0,0,0,0,0
ENSMUSG00000096939,0,0,0,0,0,0
ENSMUSG00000100767,0,0,0,0,0,0
ENSMUSG00000099860,0,0,0,0,0,0
ENSMUSG00000101179,0,0,0,0,0,0
ENSMUSG00000037035,0,0,1,0,0,0
ENSMUSG00000036766,0,0,0,0,0,0
ENSMUSG00000104396,0,0,0,0,0,0
ENSMUSG00000102481,0,0,0,0,0,0
ENSMUSG00000005886,3489,2594,1902,2848,3654,3222
ENSMUSG00000093254,0,0,0,0,0,0
ENSMUSG00000004451,516,491,682,400,604,488
ENSMUSG00000101437,1,0,0,0,0,4
ENSMUSG00000103506,3,6,0,4,2,3
ENSMUSG00000098447,20,6,11,16,7,19
ENSMUSG00000103495,4,1,0,1,0,0
ENSMUSG00002076346,0,0,0,0,0,0
ENSMUSG00000102639,1,2,0,0,1,1
ENSMUSG00000098923,389,305,472,300,455,328
